nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
BlueTape Soluções Digitais,"Oferecemos soluções de tecnologia aplicadas ao Direito com o objetivo de aumentar a produtividade, reduzir custos e melhorar fluxos. Soluções construídas nas seguintes áreas: 

- Automatização de rotinas jurídicas de escritórios, departamentos jurídicos e do poder judiciário (RPA)

- Automatização de peças jurídicas - Aplicativo Web chamado Forma.DOC

- Desenvolvimento de Relatórios Gerenciais (Business Analytics)",Startup,"Direito, Tecnologia da informação",Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
FUSION Tecnologia,"Ferramentas para otimizar o gerenciamento de processos e empresas, ERP's personalizadas, digitalização de informações, Data Analysis para formação de relatórios automáticos e suporte para tomada de decisão, através de Aplicações WEB, Softwares e Aplicativos. Soluções para inspeção de qualidade e manutenção, e medição de objetos através de Software com Visão Computacional. Sistemas que integram hardware e software, medindo utilização, disponibilidade e produtividade de equipamentos, assim como rastreabilidade dos mesmos, integrando estas informações aos dados do processo e operação.",Startup,Tecnologia da informação,,3. Tração,Executores Diretos das Missões,,,,,,
Ene Soluções,"Atuando no mercado de TI desde 2011, a eNe Soluções é especialista em UI/UX, desenvolvimento Front-end, SEO e BIZ. 
 
 Criamos com base em 3 pilares:
 - a experiência do usuário;
 - os objetivos do negócio do cliente;
 - o desenvolvimento da programação ideal com as melhores tecnologias para atingir os resultados.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
Geral Geek,A Geral Geek é um Marketplace de produtos Geeks. Nosso objetivo é se tornar a maior comunidade de comércio geek do Brasil.,Startup,Varejo,Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Falaê!,"O Falaê é uma plataforma de pesquisa de satisfação e relacionamento com clientes, focada em pequenos e médios negócios. Ela foi desenvolvida com o intuito de ajudar empresas e gestores a conhecerem melhor, o que os clientes esperam e desejam nas experiências de compra que realizam. Esse processo favorece um bom relacionamento e interação entre empresas e consumidores, fomentando o consumo, melhorando a rentabilidade e eficiência de pequenos negócios.

As maiores empresas do mundo tem capacidade de utilizar tecnologia de ponta, para criar e transformar a experiência dos clientes em algo que realmente gere mais receitas para a organização. Enquanto isso, as PME's, na maioria dos casos, desconhecem as estratégias de Experiência do Cliente, e nem tampouco, tem tecnologias baratas à disposição para investir em áreas como essa.

O Falaê, nasce com a clara missão de democratizar a Experiência do Cliente e a cultura DataDriven, em pequenas empresas, de maneira simples e eficiente, com um método já validado em mais de 150 unidades de negócio, em diferentes regiões do país. A partir de análises criadas dentro do Falaê, o empreendedor consegue direcionar esforços em áreas cruciais do seu negócio, cortando custos desnecessários, treinando melhor a sua equipe, e criando produtos e serviços com alto valor agregado na visão dos clientes. Tudo isso por um custo acessível, e pagamento recorrente, que cabe no bolso dos pequenos e médios negócios.",Startup,"Gestão de negócios, Tecnologia da informação, Varejo, Vendas",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Ipass,"O iPass é uma plataforma para venda de ingressos online e físicos para os mais diversos tipos de eventos: festivais, shows, festas, palestras, cursos, entre outros. Além disso, é uma ferramenta prática e completa para a gestão de eventos, com relatórios e informações diretas, facilitando análises e, consequentemente, a tomada de decisão do produtor.
O iPass garante a seus usuários uma compra totalmente segura, já que conta com certificados de segurança e sistema anti-fraudes. Entre em contato conosco e conheça mais sobre nós! ;)",Startup,Entretenimento,,,Executores Diretos das Missões,,,,,,
Leads Digital,"Leads Digital - Plataforma para Criação e Gestão de Cartões de Visita Digitais online.
Trata-se de uma solução de marketing sustentável e dinâmica, que aproxima e facilita o relacionamento com o cliente. O diferencial é a nossa estratégia corporativa, na qual é possível realizar a gestão dos cartões de visita, com métricas de acesso em tempo real. Além disso, pode-se padronizar os cartões para toda equipe com um custo inferior ao cartão de papel. Por fim, está disponível a integração com o Google Ads e Facebook Ads, para campanhas de marketing personalizadas ao público que interagir com a equipe.
Resultados até o momento 03/12/2021
Usuários Cadastrados: 1576
Cartões Ativos: 1147
Cartões Ativos Monetizando: 276
Empresas Cadastradas: 92
Empresas Cadastradas - Ativas: 46
Empresas Cadastradas - Ativas Monetizando: 05",Startup,"Publicidade, Tecnologia da informação",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Zapt Tech,"A Zapt Tech desenvolve tecnologias digitais de Mapas Indoor, Wayfinding, Posicionamento, Navegação e Localização em Tempo Real no Brasil, provendo soluções de orientação, localização e monitoramento de pessoas e ativos - com alta qualidade e custos acessíveis.",Startup,"Indústria 4.0, Mobilidade, Saúde, Tecnologia da informação, Turismo, Varejo","Big Data, IOT (Internet das Coisas)","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Harpia Harpyja Soluções Tecnológicas,Desenvolvimento de soluções hardware + software para aumento da eficiencia e segurança nas operações industriais,Startup,"Indústria 4.0, Logística, Segurança","Deep Learning, IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Geoadmin,Ajuda o produtor rural e agroindústrias a se manterem em dia com suas obrigações legais.,Startup,Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
E-sol Brasil,"E-sol Brasil é uma das empresas pioneira no mercado de energia solar brasileiro. Desde 2011 oferecemos soluções em energia solar fotovoltaica e eficiência energética dentro do cenário de industria 4.0.
 
 Iniciamos nossas operações em Frutal/MG fabricando com tecnologia própria os painéis fotovoltaicos nos projetos ES-P63EB (painel solar fotovoltaico de 65W) e ES-M66EB (painel solar fotovoltaico de 144W).
 
 Em 2013 mudamos nossa operação para o modelo de turn-key onde agora implantamos soluções que permitem reduzir a sua conta de energia elétrica em até 98%. Somos completos, entregamos a solução para a sua necessidade.
 
 Dimensionamos a sua usina solar fotovoltaica, auxiliamos nas tratativas de um possível financiamento, realizamos a instalação do projeto e acompanhamos todo o processo de homologação e ativação do sistema solar.
 
 Fazemos tudo para que a sua casa, condomínio, empresa ou fazenda possa produzir energia limpa e barata ficando livre dos aumentos impostos pelas distribuidoras.",Empresa de Base Tecnológica (EBT),Energia,,,Executores Diretos das Missões,,,,,,
TRENDPRIX INTELIGENCIA EM INVESTIMENTOS LTDA,"Em janeiro 2020 quinze profissionais de diversas áreas se juntaram para fundar a TrendPrix Inteligência em Investimentos com a proposta de fornecer ao mercado financeiro previsões de altas e baixas de preço dos ativos negociados em bolsas de valores, utilizado a Inteligência Artificial, além de desenvolver cursos para ensinar as pessoas a investir na bolsa. 
Em 2020 contratamos uma empresa de consultoria para fazer a pesquisa de mercado e elaborar o nosso plano de negócio sendo a etapa inicial para a validação da nossa proposta. Após o estudo de viabilidade do projeto, no dia 18 de março de 2021 formalizamos a criação da Startup. No segundo semestre de 2021, fomos selecionados pelo CIAEM - Centro de Incubação de Atividades Empreendedoras da Universidade Federal de Uberlândia que tem dado assistências necessárias para o desenvolvimento do nosso produto. Após a elaboração e validação do protótipo, nos dias 03 e 04 de fevereiro de 2022 lançamos oficialmente o nosso Aplicativo Web. Nos últimos meses temos trabalhando no desenvolvimento e implementação da nova versão do aplicativo e planejamento de cursos de educação financeira.",Startup,"Educação, Finanças, Indústria 4.0, Tecnologia da informação","Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
"GENEAL GENETICA ANIMAL - ANALISE, PESQUISA E LABORATORIO S/A","Desenvolvimento de metodologia inédita para realização de biópsia embrionária voltada ao melhoramento genético da pecuária leiteira. Será realizado uma metodologia de diagnóstico genético pré-implantacional de embriões bovinos produzidos in vitro, a partir de um cruzamento (vaca versus touro) de interesse do cliente, objetivando a sexagem embrionária e a identificação de genótipos de interesse comercial para a cadeia produtiva do leite (Leptina, Receptor da Leptina, DGAT1, Beta Caseína, Kappa Caseína e Beta Lactoglobulina), a partir do material genético obtido da biópsia embrionária. Desta forma, o projeto traz como vantagens a redução de custos do produtor com fêmeas receptoras de embriões e a melhora da qualidade do leite como produto final e de seus derivados, agregando valor ao produto ao ser comercializado. O objetivo deste projeto é aumentar a produtividade da cadeia leiteira por meio do desenvolvimento de uma metodologia diagnóstica de biópsia embrionária que possa identificar o sexo do embrião antes da implantação na receptora, reduzindo os custos do produtor. Além disso, o projeto visa identificar genótipos de interesse a partir do material genético extraído da biópsia, a fim de melhorar a qualidade do leite como produto final agregando ainda mais valor aos seus derivados. Esse projeto será desenvolvido em três diferentes etapas, sendo elas: (1) produção embrionária e biópsia de embriões; (2) sexagem das células embrionárias e seleção dos marcadores genéticos de interesse comercial; e (3) estratégias de marketing para divulgação do novo produto e com isso, a fixação dos recursos humanos. O resultado esperado com o desenvolvimento dessa metodologia inédita é selecionar apenas os embriões de interesse comercial para a cadeia produtiva do leite a serem transferidos, otimizando os resultados e diminuindo os custos da produção. Adicionalmente, agregar valor ao produto final e seus derivados.
",Média e Grande Empresa,"Agronegócio, Serviços e Comércio",,,Executores Diretos das Missões,,,,,,
Casa Mineira Imóveis,"CASA MINEIRA CORRETORA DE IMÓVEIS LTDA está há 28 anos no Mercado Imobiliário de Belo Horizonte, sempre prestando bons serviços ao público em geral nas áreas de venda e locação, e gozando de grande prestígio junto às grandes Construtoras da Capital. Todo este trabalho foi coroado pelo 1º lugar do PQEX 2010 (Prêmio de Qualidade e Excelência Empresarial), através do qual a CMI SECOVI/MG reconheceu a imensa capacitação e profissionalismo de nossos funcionários, que fazem desta empresa uma referência no mercado imobiliário atual.",Média e Grande Empresa,Construção Civil ou Setor Imobiliário,,,Executores Diretos das Missões,,,,,,
Caminhadas,Os usuários criam grupos de caminhadas em um dos 5 níveis e divulgam para amigos participarem gerando incentivo mutuo para a pratica do exercício.,Startup,Entretenimento,,,Executores Diretos das Missões,,,,,,
10Educ Educação Corporativa,"Alinhar a educação corporativa à estratégia da empresa, promovendo a transformação das pessoas, por meio de uma educação relevante, aderente e aplicável.",Startup,Educação,,2. Operação,Executores Diretos das Missões,,,,,,
Cresça Mais,A Cresça Mais ajuda você a aumentar seu faturamento criando diferencial competitivo no mercado. Disponibilizamos os melhores conteúdos para alavancar sua carreira e seu negócio. Escolha os melhores cursos ou as melhores assinaturas para você. Pare de perder tempo!,Startup,Educação,,,Executores Diretos das Missões,,,,,,
Rentis Negocios Online,"A Rentis é uma plataforma online que facilita o aluguel de objetos entre usuários.
Conectamos pessoas interessadas em economizar alugando itens/objetos ao invés de comprar, com pessoas que possuem itens/objetos não utilizado e que que desejam ganhar dinheiro extra. Alugar ao invés de comprar oferece economia. Para quem tem pouco espaço, alugar evita acumular objetos e reduz o consumo desnecessário. É ideal para uso temporário, como em viagens e itens utilizados ocasionalmente. Estamos em fase de pre-seed",Startup,"Sustentabilidade, Varejo",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Select Sistemas,Empresa de TI desenvolvedora de SaaS para gestão de Lavanderias comerciais,Startup,Gestão de negócios,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Metha Energia,"A Metha Energia oferece desconto de até 15% em sua conta de energia elétrica. Através distribuição de créditos de energia provenientes de fontes sustentáveis, que são abatidos na sua conta mensal de energia elétrica.
O processo não necessita de nenhum investimento, não tem taxa de adesão nem fidelidade. Só é necessário que o cliente faça seu cadastro, aguarde aprovação e aproveite seu desconto.
Além disso, uma das bandeiras levantadas pela startup é a sustentabilidade, já que a energia gerada provém de fontes limpas, que antes desperdiçavam energia, criando uma relação equilibrada com o meio ambiente.
A equipe é formada por jovens preparados e sedentos por inovação, que se uniram em prol de um ideal e de querer transformar o setor de energia elétrica no Brasil.
Hoje a Metha Energia tem 9 usinas de geração de energia, clentes em 180 cidades de Minas Gerais e mais de 20 mil clientes cadastrados. A expectativa é fechar o ano de 2020 com 50 mil clientes operacionalizados.",Startup,Energia,Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
"Se Candidate, Mulher!","Somos uma Startup de Impacto Social a trabalhar a empregabilidade feminina no país. Ajudamos empresas a contratar mais mulheres e mulheres a serem aprovadas nas vagas de emprego que quiserem. 

Possuímos a única plataforma de recrutamento e seleção que prepara mulheres para serem aprovadas nos processos seletivos das empresas do Brasil. Construída para capacitar mulheres para avançarem nos processos seletivos e para que as empresas tenham agilidade, menos custo e sucesso na contratação das mesmas, fomos responsáveis por mais de 7.800 candidaturas nos processos seletivos dos nossos clientes B2B no ano de 2021 com 99% de preenchimento de suas vagas (nível: estágio a pleno) e NPS acima de 90.",Startup,"Negócios sociais, Recursos Humanos",Data Base,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Aquila,"O Instituto Aquila é uma consultoria internacional que oferece soluções gerenciais de excelência global, focadas na melhoria dos resultados de seus clientes.
 
 Com atuação em 19 países da América, Europa e Oceania, possui mais de 1.200 projetos em carteira, apoiados por escritórios no Brasil, Colômbia, Austrália, Suíça e Portugal. Mantém um Centro de Estudos em Zurique, onde são conduzidas pesquisas e desenvolvidas inovações em gestão.
 
 A equipe é composta por cerca de 500 profissionais, liderados por seis referências técnicas e 90 sócios seniores com elevado grau de experiência e especialização acadêmica diferenciada.
 
 A consultoria investe, também, na transferência de conhecimento por meio da Escola de Gestão Aquila, que dispõe de um completo programa de treinamentos orientados para a aplicação prática e eficaz das soluções gerenciais no ambiente organizacional do aluno. Investe, ainda, na construção de ferramentas de gestão com o Aquila Tech.",Média e Grande Empresa,"Educação, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,,,,,,
Fab.,"A Fab. é uma multimarcas que une tradição com informação de moda, fast fashion e produtos de qualidade a preços super especiais.",Média e Grande Empresa,Têxtil e Vestuário,,,Executores Diretos das Missões,,,,,,
Educando Seu Bolso,"O Educando Seu Bolso é uma plataforma de educação financeira criada para facilitar o relacionamento do cidadão comum com o seu dinheiro. Nosso grande desafio é entregar para este público as melhores soluções de maneira completa, rápida e objetiva. Para isso, trabalhamos as diversas áreas do mercado financeiro de modo integrado, com objetivo de desenvolver ferramentas e conteúdos simples e em linguagem acessível. Nossas soluções são constantemente atualizadas de acordo com os feedbacks dos próprios usuários tanto em seu uso direto, quanto nos testemunhos, comentários e dúvidas. Nossa produção é guiada principalmente pelas seguintes verticais: máquinas de cartão, investimentos em Renda Fixa, contas digitais, aposentadoria, amortização, financiamento de imóvel e veículo, e empréstimo pessoal.
Mais de um milhão de pessoas já foram impactadas com nossos conteúdo e centenas de milhares já utilizaram nossas ferramentas.",Startup,"Educação, Finanças",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
NeST,"A NeST é uma agência digital que tem como objetivo levar soluções para seus clientes, atendendo empresas de todos os tamanhos e segmentos do mercado, levando tecnologia e aumentando seus negócios.",Empresa de Base Tecnológica (EBT),"Publicidade, Educação, Gestão de negócios, Rede social, Tecnologia da informação","Big Data, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
SEASA - Serviço de Abastecimento Recíproco,"A SEASA é uma empresa de tecnologia de logistica e comercial de suprimentos e conexão de players das grandes Centrais de Abastecimento de todo o Brasil. Vem revolucionar as relações comerciais intra players de toda a cadeia produtiva de verduras, legumes, frutas e cereais desde o produtor até a rede de food-services. Traz otimização comercial e logística, agilidade na aquisição e venda dos produtos, licitações on-line, pagamentos seguro e confiança. Além de contribuir com a redução das emições de CO2 e reduzir o desperdício.

A StartUp está em faze de teste de MVP",Startup,"Agronegócio, Alimentos, Logística, Sustentabilidade",Blockchain,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Hermes Pardini,"Fundado em 1959, o Hermes Pardini possui 73 unidades em Minas Gerais e São Paulo e é um dos principais laboratórios do país. Oferece serviços de análise clínica, diagnóstico por imagem, vacinas, entre outros.",Média e Grande Empresa,Biociências ou ciências da vida,,,Executores Diretos das Missões,,,,,,
SENSE ELETRÔNICA LTDA.,"Em mais de 45 anos de atuação, a Sense Eletrônica está no mercado de automação industrial, oferecendo soluções em sensoriamento e conectividade, atuando nos segmentos de Automação de Processos e Manufatura.
A história da empresa começou em 1976, com a parceria de dois engenheiros recém-formados no Inatel (Instituto Nacional de Telecomunicações) dispostos a empreender em um segmento pouco explorado na época.

Os produtos Sense eram produzidos em São Paulo, junto com sua área comercial, mas no início dos anos 90, conforme o crescimento da empresa, a fábrica foi transferida para Santa Rita do Sapucai - Minas Gerais, um importante pólo industrial, conhecido como Vale da Eletrônica brasileiro.
Em uma área de 5mil m² de excelente infraestrutura a empresa conta com o que é há de mais moderno em maquinário no mercado e utiliza diversos processos automáticos em sua linha de produção, o que garante a qualidade Sense.

Nosso reconhecido departamento de Pesquisa e Desenvolvimento tem à disposição modernos testes que são realizados no desenvolvimento de produtos.
As parcerias da empresa com escolas da região: ETE, INATEL, FAI, SENAI, permitem a troca de conhecimento e experiências, e mantém nossos colaboradores sempre próximos das mais novas tecnologias do setor. Além de ser uma importante integração da Sense com a realidade da região.

Tudo isso, e o passar dos anos, fez com que a empresa se consolidasse atendendo indústrias, de diversos portes, sempre acompanhando o desenvolvimento do cenário econômico do país.
Hoje a Sense conta com filiais em Campinas, Rio de Janeiro e Porto Alegre, representantes nas principais capitais e também mantêm parcerias com revendas especializadas, para atender a todo o Brasil além de exportar para diversos países, desde América Latina do Norte, Europa, e Ásia. Buscando desenvolver ainda mais esse crescimento internacional que acreditamos possuir para levar a marca Sense de produtos nacionais mundo a fora.

Atualmente a Sense é reconhecida mundialmente no mercado como empresa que desenvolve, fabrica e comercializa equipamentos inovadores para monitoração e controle de válvulas diafragma, rotativas e lineares no ambiente da indústria 4.0.",Média e Grande Empresa,Eletroeletrônica,,,Executores Diretos das Missões,,,,,,
XGO SOLUCOES,Consultoria e desenvolvimento tecnologico,Média e Grande Empresa,"Educação, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,,,,,,
HUB VERSÃO HOLÍSTICA SAÚDE INTEGRATIVA,"O Hub Versão Holística é uma plataforma que conecta profissionais de medicina integrativa aos demais atores do sistema de saúde, desde instituições de ensino e pesquisa, planos de saúde e pacientes, para atender às demandas de ambos.

Ainda, para diminuir custos para o profissional e evitar grandes deslocamentos por parte do paciente, flexibilizamos os locais utilizados para a realização dos atendimentos.

Nos classificamos como aliados ao sistema de saúde público e privado, aliviando a atenção primária e especializada ao oferecer cuidado preventivo e personalizado utilizando a medicina integrativa.

Possuímos uma plataforma em WordPress como MVP e planejamos desenvolver uma Inteligência Artificial para profissionais para verificar práticas indicadas de acordo com parâmetros clínicos.

Nesse primeiro momento, a nossa plataforma conecta mulheres aos profissionais, clínicas e planos de saúde associados, para depois expandirmos para outros públicos, enquanto validamos também o nosso hub.",Startup,Saúde,"Big Data, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Gooders,"Somos uma plataforma de engajamento social, com recompensas reais que fomenta negócios de impacto. Nossa missão é motivar a resolução de problemas sociais, recompensar as pessoas que fazem o bem e motivar o crescimento do pensamento social em larga escala.",Startup,Finanças,,3. Tração,Executores Diretos das Missões,,,,,,
SHARP SOLUÇÕES DIGITAIS ,"
A Sharp Soluções Digitais, software house fundada em 2019, dedica-se a transformar desafios tecnológicos em soluções inovadoras e sob medida, atendendo a empresas de variados portes com sistemas web, mobile e desktop. Com uma equipe experiente, a empresa destaca-se pela excelência, inovação, e compromisso com a ética e responsabilidade social.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,"IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
TRISKLE TECNOLOGIA,"TRISKLE foi criada para ajudar as empresas a tratarem a governança, riscos e compliance de forma simples e de custo acessível, possibilitando a inclusão de todas as empresas, incluindo startups, no atendimento às regulamentações e boas práticas, no combate ao cybercrime e na governança dos negócios. Temos atualmente 4 clientes pagantes e alguns em demo, além de alguns parceiros de negócio.
",Startup,"Gestão de riscos, PrivacyTech, Regulamentação e compliance, Segurança, Tecnologia da informação",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Armário Compartilhado,Alugue os vestidos de festa mais lindos de Belo Horizonte. Tem vestido parado no Armário? Compartilhe o seu e ganhe a cada aluguel.,Startup,Moda,,,Executores Diretos das Missões,,,,,,
Hometeka,"Todos os jeitos de reformar, decorar e construir.
A Hometeka é a maneira mais fácil de acessar o melhor da arquitetura, design e decoração.
Tem conteúdo interessante? Yep. Plugin para SketchUp? Também. Construir uma casa em 10 dias?Ok. Loja online com mais de 5 mil itens? Nova em folha (e com preços amigáveis).
Tudo começou em 2012 com uma ideia: levar os processos de projeto, compra e especificação de produtos para uma plataforma simples através de muita tecnologia.
Depois de muitos cafés, horas extras e pausas para pão de queijo, criamos o plugin bim.bon para SketchUp, uma ferramenta completa para profissionais e consumidores finais.",Startup,Varejo,,,Executores Diretos das Missões,,,,,,
MAFER Telecom,"MAFER TELECOM é uma empresa do segmento de redes de telecomunicações, fundada em 2010, que atua como um elo entre grandes players do mercado de redes de telecomunicações e os provedores de Internet. A empresa acompanha seus clientes no caminho da transformação digital, em busca de viabilizar as necessidades do mercado ISP por meio de parcerias tecnológicas e integração de soluções inovadoras em Redes de Telecomunicações.

A MAFER TELECOM está situada no Arranjo Produtivo Local (APL) de Eletroeletrônicos de Santa Rita do Sapucaí, sul de Minas Gerais, cidade conhecida como O Vale da Eletrônica. Atualmente conta com 9 colaboradores, a sua maioria com formação superior. A empresa mantém fortes laços com o Instituto Nacional de Telecomunicações (INATEL), escola onde a colaboradora e coordenadora deste projeto cursa o Doutorado em Redes de Telecomunicações, com ênfase em Inteligência Artificial e Internet das Coisas.

Como marco relevante, podemos destacar a participação no projeto de crescimento da infraestrutura de telecomunicações via fibra ótica na cidade de Guarulhos realizado em 2022 em parceria com a empresa TechFibers e a implantação da rede digital da BRF Foods em parceria com a multinacional Cirion Technologies. Atualmente, a empresa trabalha na análise de viabilidade técnica e implantação de mais de 5.000 pontos em todo o território nacional da rede digital do Banco Bradesco, mais uma parceria com a Cirion Technologies.",Empresa de Base Tecnológica (EBT),Telecomunicações,"Deep Learning, IOT (Internet das Coisas), Visão Computacional",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Rubyy Ltda.,"A Rubyy é uma heathtech, uma plataforma que visa conectar o usuário de sistema de saúde diretamente aos prestadores, otimizando os fluxos de agendamento, pagamento, faturamento e repasse de valores entre os prestadores de serviço, trazendo economia e maior racionalidade a todo o processo.",Startup,Saúde,Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Licentia,"O Licentia oferece um software na web como SaaS, para apoio à gestão do licenciamento ambiental para empresas.",Startup,Regulamentação e compliance,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
OPTIMUM,"Desenhamos, desenvolvemos e implantamos soluções digitais inovadoras para as mais diversas disciplinas em um vasto portfólio de Tecnologia",Empresa de Base Tecnológica (EBT),"Agronegócio, Construção, Finanças, Gestão de negócios, Recursos Humanos, Varejo, Logística, Tecnologia da informação","Big Data, Machine Learning, Realidade aumentada","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
